대피소명,주소,위도,경도,유형
KT (주)세븐업_경기북부_노원역점,서울 노원구 노해로 488 102호 KT 매장,37.65434,127.06217,기후동행쉼터
KT (주)피앤월드 노원역점,서울 노원구 노해로 495 1층 KT,37.65513,127.0631,기후동행쉼터
KT olleh plaza 노원점,서울 노원구 노해로 502 kt 노원지점 1층 kt 플라자 노원점,37.65445,127.06375,기후동행쉼터
KT (주)세븐업_경기북부_공릉역점,서울 노원구 동일로 1077 1층,37.62605,127.07244,기후동행쉼터
KT M&S노원역직영점,서울 노원구 동일로 1382 1층 KT매장,37.65199,127.06156,기후동행쉼터
KT (주)에이치커넥션 노원역점,서울 노원구 동일로 1390 1층 KT,37.65272,127.06152,기후동행쉼터
KT 디액션_노원역점,서울 노원구 동일로 1401 103호,37.65355,127.06039,기후동행쉼터
KT (주)지오컴퍼니 마들역점,서울 노원구 동일로 1538 상계12단지종합 상가 105호,37.66582,127.05791,기후동행쉼터
KT (주)지오컴퍼니 수락산역점,서울 노원구 동일로 1673,37.6779,127.05494,기후동행쉼터
KT M&S중계아울렛직영점,"서울 노원구 동일로204가길 34 1층, kt매장",37.64075,127.06817,기후동행쉼터
KT (주)피앤월드 노원2호점,서울 노원구 상계로 69 1층 KT,37.65644,127.06267,기후동행쉼터
KT XCIX 은행사거리본점,서울 노원구 한글비석로 245 1층,37.64926,127.07636,기후동행쉼터
KT M&S상계역직영점,"서울 노원구 한글비석로20길 23-16, kt매장",37.66049,127.07373,기후동행쉼터
KT (주)지오컴퍼니 석계역점,서울 노원구 화랑로 335 1층 102호,37.6151,127.06498,기후동행쉼터
KT (주)애니킹_석계역점,서울 노원구 화랑로 353 푸른치과의원건물 1층,37.61548,127.06704,기후동행쉼터
KT (주)에이치커넥션 창동본점,서울 도봉구 노해로63길 84,37.65277,127.04658,기후동행쉼터
KT 디액션_신창시장점,서울 도봉구 덕릉로 239 1층 1호,37.63916,127.03825,기후동행쉼터
KT 진서정보통신_방학도깨비시장점,서울 도봉구 도당로13길 9,37.66514,127.03558,기후동행쉼터
KT (주)지오컴퍼니 쌍문역점,서울 도봉구 도봉로 475-1,37.64831,127.03413,기후동행쉼터
KT (주)피앤월드 쌍문역점,서울 도봉구 도봉로 476 쉐르빌퍼스티 1층 104호 KT,37.64788,127.03476,기후동행쉼터
KT (주)에이치커넥션 방학역점,서울 도봉구 도봉로 689,37.666,127.04263,기후동행쉼터
KT olleh plaza 도봉점,서울 도봉구 도봉로110길 25 kt 도봉지점 1층 kt 플라자 도봉점,37.64641,127.03489,기후동행쉼터
KT (주)지오컴퍼니 방학점,서울 도봉구 도봉로153길 29,37.66988,127.04176,기후동행쉼터
KT (주)에이치커넥션 창동역점,서울 도봉구 마들로11길 71 1층 103호 104호,37.65334,127.04933,기후동행쉼터
KT (주)피앤월드 쌍문1호점,서울 도봉구 해등로 190 제116 117호,37.6585,127.03601,기후동행쉼터
KT (주)피앤월드 쌍문2호점,서울 도봉구 해등로 198 1층 KT,37.65835,127.03491,기후동행쉼터
KT (주)거성크루_경희대삼거리점,"서울 동대문구 경희대로 1 1층, kt매장",37.59175,127.0521,기후동행쉼터
KT 제이엠커뮤니케이션_휘경점,서울 동대문구 망우로 46 401동 1103호 KT 매장,37.58859,127.05825,기후동행쉼터
KT (주)리테일앤컴퍼니_전농점,서울 동대문구 사가정로 122 1층 102호,37.5772,127.05852,기후동행쉼터
KT 헤븐텔레콤_안암오거리점,서울 동대문구 약령시로 2-1,37.58237,127.03028,기후동행쉼터
신한은행 장안동,서울 동대문구 장한로 119,37.57144,127.07013,기후동행쉼터
KT 탑클래스 모바일 장한평역점,서울 동대문구 장한로 3 1층 KT매장,37.56214,127.06458,기후동행쉼터
KT 모바일라운지_장안동사거리점,서울 동대문구 장한로25길 2 1층 KT 매장,37.5719,127.07112,기후동행쉼터
KT (주)이지스컴_답십리점,"서울 동대문구 전농로 102 , kt매장",37.57393,127.05783,기후동행쉼터
KT 뉴미닝_신설동역점,서울 동대문구 한빛로 1 1층 101호 KT,37.57626,127.02382,기후동행쉼터
KT 탑클래스 모바일_청량리점,서울 동대문구 홍릉로 6-1 1층 KT,37.58089,127.04523,기후동행쉼터
KT M&S외대역직영점,서울 동대문구 휘경로 7 1층,37.59628,127.06105,기후동행쉼터
KT 화이트정보통신_사당점,서울 동작구 남부순환로 2061 KT매장,37.47689,126.97781,기후동행쉼터
KT 인성피플스_노량진역점,서울 동작구 노량진로 150 1층,37.51349,126.94259,기후동행쉼터
KT M&S노량진직영점,서울 동작구 노량진로 162 1층 KT,37.51339,126.94396,기후동행쉼터
KT 홍익텔레콤_이수점,서울 동작구 동작대로 107 덕산건물 1층,37.48621,126.98183,기후동행쉼터
KT M&S이수역직영점,서울 동작구 동작대로 127 1층 KT매장,37.48792,126.98195,기후동행쉼터
KT 홍익텔레콤_신대방삼거리점,서울 동작구 상도로 82 101호,37.49945,126.92971,기후동행쉼터
KT 피앤에프 대림삼거리점,서울 동작구 시흥대로 658 102호,37.49037,126.90808,기후동행쉼터
KT (주)내외정보통신_아현역점,서울 마포구 굴레방로 13 1층,37.55527,126.95562,기후동행쉼터
