대피소명,주소,위도,경도,유형,대피소명_정규
4호선회현역지하철승강장,"서울특별시 중구 퇴계로 지하 54 (남창동, 회현역 4호선)",37.55886,126.97765,민방위대피시설,4호선회현역지하철승강장
5호선 강동역,,37.5358,127.13248,비상대피시설(지하철역),5호선강동역
5호선 강일역,,37.55749,127.17593,비상대피시설(지하철역),5호선강일역
5호선 개롱역,,37.49808,127.13482,비상대피시설(지하철역),5호선개롱역
5호선 개화산역,,37.5724,126.80617,비상대피시설(지하철역),5호선개화산역
5호선 거여역,,37.4931,127.14415,비상대피시설(지하철역),5호선거여역
5호선 거여역 지하1층,"서울특별시 송파구 오금로 지하 499 (거여동, 거여역)",37.49425,127.14202,민방위대피시설,5호선거여역지하1층
5호선 고덕역,,37.555,127.15415,비상대피시설(지하철역),5호선고덕역
5호선 공덕역,,37.54443,126.95137,비상대피시설(지하철역),5호선공덕역
5호선 공덕전철역 지하1~3층,"서울특별시 마포구 마포대로 지하100, 공덕역 (공덕동)",37.54449,126.95119,민방위대피시설,5호선공덕전철역지하1~3층
5호선 광나루(장신대)역,,37.5453,127.10357,비상대피시설(지하철역),5호선광나루(장신대)역
5호선 광화문(세종문화회관)역,,37.57152,126.97717,비상대피시설(지하철역),5호선광화문(세종문화회관)역
5호선 군자(능동)역,,37.55709,127.07958,비상대피시설(지하철역),5호선군자(능동)역
5호선 굽은다리(강동구민회관앞)역,,37.54548,127.14285,비상대피시설(지하철역),5호선굽은다리(강동구민회관앞)역
5호선 길동역,,37.5378,127.14,비상대피시설(지하철역),5호선길동역
5호선 김포공항역,,37.56238,126.80129,비상대피시설(지하철역),5호선김포공항역
5호선 까치산역,,37.53177,126.84668,비상대피시설(지하철역),5호선까치산역
5호선 답십리역,,37.56675,127.0527,비상대피시설(지하철역),5호선답십리역
5호선 동대문역사문화공원역,,37.56466,127.00535,비상대피시설(지하철역),5호선동대문역사문화공원역
5호선 둔촌동역,,37.52779,127.13625,비상대피시설(지하철역),5호선둔촌동역
5호선 마곡역,,37.56018,126.82545,비상대피시설(지하철역),5호선마곡역
5호선 마장역,,37.5661,127.04297,비상대피시설(지하철역),5호선마장역
5호선 마장역(지하 1~3층),"서울특별시 성동구 마장로 지하 296 (마장동, 마장역)",37.56698,127.04366,민방위대피시설,5호선마장역(지하1~3층)
5호선 마천역,,37.49499,127.15278,비상대피시설(지하철역),5호선마천역
5호선 마포역,,37.53957,126.94593,비상대피시설(지하철역),5호선마포역
5호선 명일역,,37.55137,127.144,비상대피시설(지하철역),5호선명일역
5호선 목동역,,37.52607,126.86493,비상대피시설(지하철역),5호선목동역
5호선 미사역,,37.56093,127.19388,비상대피시설(지하철역),5호선미사역
5호선 발산역,,37.5586,126.83767,비상대피시설(지하철역),5호선발산역
5호선 방이역,,37.50886,127.12613,비상대피시설(지하철역),5호선방이역
5호선 방이역 승강장 지하1층,서울특별시 송파구 양재대로 지하 1127 (방이동),37.50803,127.12545,민방위대피시설,5호선방이역승강장지하1층
5호선 방화역,,37.57745,126.81274,비상대피시설(지하철역),5호선방화역
5호선 상일동역,,37.55671,127.16642,비상대피시설(지하철역),5호선상일동역
5호선 서대문역,,37.56577,126.96664,비상대피시설(지하철역),5호선서대문역
5호선 송정역,,37.56118,126.81197,비상대피시설(지하철역),5호선송정역
5호선 신금호역,,37.55455,127.02033,비상대피시설(지하철역),5호선신금호역
"5호선 신금호역 지하 1,2,8층","서울특별시 성동구 금호로 지하 154 (금호동2가, 신금호역)",37.55466,127.01979,민방위대피시설,"5호선신금호역지하1,2,8층"
5호선 신길역,,37.51762,126.91484,비상대피시설(지하철역),5호선신길역
